        1999           3          26           5   41.432781    
        1999           3          26          17   53.913757    
        1999           3          30           5   41.295303    
        1999           4           2           5   31.542126    
        1999           4           5           5   52.024952    
        1999           4           5          17   61.609608    
        1999           4          11           5   30.283283    
        1999           4          11          17   24.654469    
        1999           4          14           5   69.060905    
        1999           4          18           5   46.464073    
        1999           4          18          17   38.359608    
        1999           4          21           5   34.970722    
        1999           4          21          17   31.849339    
        1999           4          24           5   32.223389    
        1999           4          24          17   40.794056    
        1999           4          27          17   63.120064    
        1999           4          30           5   39.294388    
        1999           4          30          17   60.972019    
        1999           5           4           5   55.510357    
        1999           5           4          17   53.209358    
        1999           5          10           5   62.943260    
        1999           5          10          17   52.545780    
        1999           5          13           5   11.451308    
        1999           5          16           5   32.231487    
        1999           5          16          17   17.081846    
        1999           5          19           5   35.389893    
        1999           5          20          16   43.852993    
        1999           5          23           5   57.157818    
        1999           5          23          17   58.812637    
        1999           5          26          17   66.067780    
        1999           5          29           5   34.743580    
        1999           6           1           5   78.829674    
        1999           6           1          17   66.503166    
        1999           6           4           5   71.009468    
        1999           6           4          17   76.023567    
        1999           6           8          17   33.845009    
        1999           6          11           5   75.438622    
        1999           6          14          17   65.144753    
        1999           6          17           5   53.590950    
        1999           6          20           5   61.445934    
        1999           6          20          17   75.344795    
        1999           6          24          16   74.765083    
        1999           6          27           5   66.265312    
        1999           6          30           5   47.753899    
        1999           6          30          17   64.389931    
        1999           7           3           5   63.211216    
        1999           7           6           5   37.502537    
        1999           7           6          17   42.801315    
        1999           7           9           5   39.110352    
        1999           7           9          17   31.747835    
        1999           7          13           5   59.478493    
        1999           7          19           5   36.038403    
        1999           7          19          17   37.515652    
        1999           7          25           5   36.374889    
        1999           7          25          17   29.060040    
        1999           7          29          16   26.261799    
        1999           8           1           5   46.088417    
        1999           8           1          17   52.068798    
        1999           8           4          17   70.231407    
        1999           8           7           5   62.857342    
        1999           8          10           5   37.060993    
        1999           8          10          17   60.074577    
        1999           8          13           5   35.508511    
        1999           8          13          17   22.876648    
